seqnames,start,end,strand,gene_id,gene_name,gene_type,gene_name_orig
"chr21",9492380,9492817,"+","ENSG00000279990.1_4","RPSAP68","processed_pseudogene","RPSAP68"
"chr21",9569371,9569767,"-","ENSG00000279615.1_5","CR381572.2","processed_pseudogene","CR381572.2"
"chr21",9590294,9590395,"+","ENSG00000279167.1_5","CR381572.1","processed_pseudogene","CR381572.1"
"chr21",9647910,9650168,"+","ENSG00000279579.3_4","LINC01666","lincRNA","LINC01666"
"chr21",9683191,9683272,"+","ENSG00000238411.1","CR381670.1","miRNA","CR381670.1"
"chr21",9690195,9690713,"-","ENSG00000279213.1_4","SNX18P10","processed_pseudogene","SNX18P10"
"chr21",9734399,9735479,"+","ENSG00000280243.1_4","MTCO1P1","processed_pseudogene","MTCO1P1"
"chr21",9746093,9769809,"+","ENSG00000278931.1_5","CR381670.1_2","unprocessed_pseudogene","CR381670.1"
"chr21",9825832,9826011,"+","ENSG00000264462.1","MIR3648","miRNA","MIR3648"
"chr21",9826203,9826263,"+","ENSG00000264063.1","MIR3687","miRNA","MIR3687"
"chr21",9835329,9857503,"-","ENSG00000279501.1_5","CR392039.3","lincRNA","CR392039.3"
"chr21",9865654,9866162,"-","ENSG00000279414.1_5","CR392039.2","processed_pseudogene","CR392039.2"
"chr21",9891955,9897893,"+","ENSG00000280436.1_5","CR392039.5","unprocessed_pseudogene","CR392039.5"
"chr21",9907194,9968585,"-","ENSG00000188681.11_2","TEKT4P2","transcribed_unprocessed_pseudogene","TEKT4P2"
"chr21",9921434,9921934,"-","ENSG00000279720.1_5","CR392039.4","processed_pseudogene","CR392039.4"
"chr21",9927021,9927224,"+","ENSG00000279381.1_5","CR392039.1","processed_pseudogene","CR392039.1"
"chr21",9937696,9937777,"-","ENSG00000239179.1","CR392039.2_2","miRNA","CR392039.2"
"chr21",9937936,9938018,"-","ENSG00000239107.1","CR392039.1_2","miRNA","CR392039.1"
"chr21",10163846,10207608,"+","ENSG00000278932.3_5","CR381653.1","lincRNA","CR381653.1"
"chr21",10199943,10200025,"+","ENSG00000263839.1","CR381653.1_2","miRNA","CR381653.1"
"chr21",10203300,10204058,"-","ENSG00000279718.1_4","SNX18P12","processed_pseudogene","SNX18P12"
"chr21",10208118,10215478,"-","ENSG00000279208.1_5","CR381653.2","unprocessed_pseudogene","CR381653.2"
"chr21",10380380,10380661,"-","ENSG00000264002.1","RN7SL52P","misc_RNA","RN7SL52P"
"chr21",10385953,10386047,"+","ENSG00000252199.1","SNORA70","snoRNA","SNORA70"
"chr21",10391145,10392874,"+","ENSG00000279321.1_5","AC018692.1","lincRNA","AC018692.1"
"chr21",10453045,10597337,"-","ENSG00000270533.2_5","CR382285.1","transcribed_processed_pseudogene","CR382285.1"
"chr21",10506389,10507883,"-","ENSG00000280372.1_5","CR382285.2","TEC","CR382285.2"
"chr21",10600301,10607057,"+","ENSG00000279851.2_5","CR382287.2","lincRNA","CR382287.2"
"chr21",10614447,10615032,"+","ENSG00000279062.1_5","CR382287.1","unprocessed_pseudogene","CR382287.1"
"chr21",10862622,10863057,"+","ENSG00000277282.1_2","IGHV1OR21-1","IG_V_gene","IGHV1OR21-1"
"chr21",10872119,10872429,"+","ENSG00000276556.1_5","AF254982.1","unprocessed_pseudogene","AF254982.1"
"chr21",10899078,10900002,"+","ENSG00000273872.1_4","SLC25A15P4","unprocessed_pseudogene","SLC25A15P4"
"chr21",10906201,11029719,"-","ENSG00000166157.12","TPTE","protein_coding","TPTE"
"chr21",10906741,11029719,"-","ENSG00000273840.1_5","AF254983.1","processed_transcript","AF254983.1"
"chr21",10935870,10936165,"-","ENSG00000278678.1_4","CYCSP41","processed_pseudogene","CYCSP41"
"chr21",10996026,11098980,"-","ENSG00000187172.15_4","BAGE2","transcribed_unprocessed_pseudogene","BAGE2"
"chr21",11114679,11114813,"-","ENSG00000278106.1_5","AF254983.2","unprocessed_pseudogene","AF254983.2"
"chr21",11153837,11155057,"-","ENSG00000275592.1_2","VN1R7P","processed_pseudogene","VN1R7P"
"chr21",11169720,11184046,"+","ENSG00000277693.1_5","AP003900.1","lincRNA","AP003900.1"
"chr21",11180920,11181725,"-","ENSG00000275945.1_4","EIF3FP1","processed_pseudogene","EIF3FP1"
"chr21",14371997,14389013,"-","ENSG00000229306.1_5","AP001464.1","lincRNA","AP001464.1"
"chr21",14410481,14432931,"+","ENSG00000268486.5_5","FO681491.1","transcribed_unprocessed_pseudogene","FO681491.1"
"chr21",14410481,14439354,"+","ENSG00000224309.7_2","ANKRD30BP2","transcribed_unprocessed_pseudogene","ANKRD30BP2"
"chr21",14419904,14420010,"+","ENSG00000207097.1","RNU6-614P","snRNA","RNU6-614P"
"chr21",14467626,14486111,"-","ENSG00000168122.4_2","ZNF355P","unprocessed_pseudogene","ZNF355P"
"chr21",14492565,14493128,"+","ENSG00000237202.1_5","AJ239321.1","processed_pseudogene","AJ239321.1"
"chr21",14677473,14687265,"+","ENSG00000280108.2_4","AJ239318.1","lincRNA","AJ239318.1"
"chr21",14721586,14722969,"+","ENSG00000185390.2_2","FGF7P2","unprocessed_pseudogene","FGF7P2"
"chr21",14741931,14745386,"-","ENSG00000256715.1","AL050302.1","protein_coding","AL050302.1"
"chr21",14756570,14800094,"-","ENSG00000175302.5_4","ANKRD30BP1","unprocessed_pseudogene","ANKRD30BP1"
"chr21",14778705,14778781,"-","ENSG00000266211.1","MIR3156-3","miRNA","MIR3156-3"
"chr21",14815694,14861497,"-","ENSG00000226930.1_2","GTF2IP2","unprocessed_pseudogene","GTF2IP2"
"chr21",14848692,14849584,"+","ENSG00000219280.1_2","VN1R8P","processed_pseudogene","VN1R8P"
"chr21",14897920,14900900,"+","ENSG00000228184.1_4","SNX19P1","processed_pseudogene","SNX19P1"
"chr21",14916531,14917506,"-","ENSG00000179381.8_3","OR4K11P","unprocessed_pseudogene","OR4K11P"
"chr21",14918354,14930782,"+","ENSG00000228159.1_4","LINC01674","lincRNA","LINC01674"
"chr21",14953381,14954325,"-","ENSG00000218549.2_3","OR4K12P","unprocessed_pseudogene","OR4K12P"
"chr21",14982179,15013906,"+","ENSG00000166351.10_3","POTED","protein_coding","POTED"
"chr21",14993898,14994004,"+","ENSG00000207476.1","RNU6-286P","snRNA","RNU6-286P"
"chr21",15017096,15017171,"-","ENSG00000266299.1","MIR3118-5","miRNA","MIR3118-5"
"chr21",15026394,15026677,"+","ENSG00000278381.1_5","AL050303.3","processed_pseudogene","AL050303.3"
"chr21",15026910,15049653,"+","ENSG00000279998.1_5","FP475955.3","lincRNA","FP475955.3"
"chr21",15038189,15039867,"-","ENSG00000227874.1_4","GRAMD4P1","processed_pseudogene","GRAMD4P1"
"chr21",15048343,15049437,"+","ENSG00000214319.2_4","CXADRP1","processed_pseudogene","CXADRP1"
"chr21",15051621,15053459,"-","ENSG00000269011.1","AL050303.1","protein_coding","AL050303.1"
"chr21",15051621,15053459,"-","ENSG00000279773.1_5","AL050303.4","TEC","AL050303.4"
