202
YCL076W_mRNA	1391	2134	2134	1	1	0	0
YCL075W	2125	2565	2134	1	1	1	1
YCL074W	2823	3749	2565	1	1	2	2
YCL073C_mRNA	6478	8325	3749	2	1	3	3
YCL069W_mRNA	9705	11081	8325	1	1	4	4
YCL068C_mRNA	11502	12284	11081	2	1	5	5
YCL067C_mRNA	12385	13017	12284	2	1	6	6
YCL066W_mRNA	13281	13808	13017	1	1	7	7
YCL065W_mRNA	13750	14118	13808	1	1	8	8
YCL064C_mRNA	15797	16879	14118	2	1	9	9
YCL063W_mRNA	17289	18560	16879	1	1	10	10
YCL061C_mRNA	18815	22105	18560	2	1	11	11
YCL059C_mRNA	22428	23378	22105	2	1	12	12
YCL058C_mRNA	23522	23980	23378	2	1	13	13
YCL058W-A_mRNA	23583	23924	23980	1	1	14	14
YCL057C-A_mRNA	24031	24324	23980	2	1	15	15
YCL057W_mRNA	24767	26905	24324	1	1	16	16
YCL056C_mRNA	26924	27358	26905	2	1	17	17
YCL055W_mRNA	27928	28935	27358	1	1	18	18
YCL054W-A_mRNA	30909	30995	28935	1	1	19	19
YCL054W_mRNA	31448	33973	30995	1	1	20	20
YCL052C_mRNA	34142	35392	33973	2	1	21	21
YCL051W_mRNA	35864	37615	35392	1	1	22	22
YCL050C_mRNA	37835	38800	37615	2	1	23	23
YCL049C_mRNA	39785	40723	38800	2	1	24	24
YCL048W-A_mRNA	41487	41726	40723	1	1	25	25
YCL048W_mRNA	42164	43555	41726	1	1	26	26
YCL047C_mRNA	43660	44436	43555	2	1	27	27
YCL045C_mRNA	44622	46904	44436	2	1	28	28
YCL046W_mRNA	46639	46962	46904	1	1	29	29
YCL044C_mRNA	47110	48363	46962	2	1	30	30
YCL043C_mRNA	48652	50220	48363	2	1	31	31
YCL041C_mRNA	50132	50626	50220	2	1	32	32
YCL042W_mRNA	50583	50942	50626	1	1	33	33
YCL040W_mRNA	50837	52339	50942	1	1	34	34
YCL039W_mRNA	52644	54881	52339	1	1	35	35
YCL038C_mRNA	54940	56526	54881	2	1	36	36
YCL037C_mRNA	57373	58677	56526	2	1	37	37
YCL036W_mRNA	59025	60725	58677	1	1	38	38
YCL035C_mRNA	60840	61172	60725	2	1	39	39
YCL034W_mRNA	61657	62721	61172	1	1	40	40
YCL033C_mRNA	62775	63281	62721	2	1	41	41
YCL032W_mRNA	63440	64480	63281	1	1	42	42
YCL031C_mRNA	64674	65567	64480	2	1	43	43
YCL030C_mRNA	65933	68332	65567	2	1	44	44
YCL029C_mRNA	68598	69920	68332	2	1	45	45
YCL028W_mRNA	70149	71366	69920	1	1	46	46
YCL027W_mRNA	71802	73340	71366	1	1	47	47
YCL026C-B_mRNA	73404	73985	73340	2	1	48	48
YCL026C-A_mRNA	74703	75284	73985	2	1	49	49
YCL025C_mRNA	76017	77918	75284	2	1	50	50
YCL023C_mRNA	78948	79295	77918	2	1	51	51
YCL024W_mRNA	79161	82274	79295	1	1	52	52
YCL022C_mRNA	81569	82084	82274	2	1	53	53
tE(UUC)C_tRNA	82461	82532	82274	2	1	54	54
YCL021W-A_mRNA	83619	83996	82532	1	1	55	55
YCL020W	85101	86417	83996	1	1	56	56
YCL019W	85101	90414	86417	1	1	57	57
tL(CAA)C_tRNA	90858	90971	90414	1	2	58	58
YCL018W_mRNA	91323	92417	90971	1	1	60	59
YCL017C_mRNA	92776	94269	92417	2	1	61	60
YCL016C_mRNA	94620	95762	94269	2	1	62	61
YCL014W_mRNA	96280	101190	95762	1	1	63	62
YCL012C_mRNA	101316	101787	101190	2	2	64	63
YCL011C_mRNA	102074	103357	101787	2	1	66	64
YCL010C_mRNA	103570	104349	103357	2	1	67	65
YCL009C_mRNA	104618	105547	104349	2	1	68	66
YCL008C_mRNA	105695	106852	105547	2	1	69	67
YCL007C_mRNA	106973	107365	106852	2	1	70	68
YCL005W-A_mRNA	107022	107416	107365	1	3	71	69
snR43_snoRNA	107503	107711	107416	2	1	74	70
YCL005W_mRNA	108020	108790	107711	1	1	75	71
YCL004W_mRNA	109104	110669	108790	1	1	76	72
YCL002C_mRNA	110807	111674	110669	2	2	77	73
YCL001W_mRNA	111915	112481	111674	1	1	79	74
YCL001W-A_mRNA	113079	113540	112481	1	1	80	75
YCL001W-B_mRNA	113769	114023	113540	1	1	81	76
YCR001W_mRNA	115684	115998	114023	1	1	82	77
YCR002C_mRNA	117379	118347	115998	2	1	83	78
YCR003W_mRNA	118619	119170	118347	1	1	84	79
YCR004C_mRNA	119574	120317	119170	2	1	85	80
YCR005C_mRNA	120945	122327	120317	2	1	86	81
YCR006C_mRNA	122529	123002	122327	2	1	87	82
tP(AGG)C_tRNA	123576	123647	123002	2	1	88	83
YCR007C_mRNA	126010	126729	123647	2	1	89	84
tN(GUU)C_tRNA	127715	127788	126729	1	1	90	85
YCR008W_mRNA	128469	130280	127788	1	1	91	86
YCR009C_mRNA	130744	131541	130280	2	1	92	87
YCR010C_mRNA	132272	133123	131541	2	1	93	88
YCR011C_mRNA	133723	136872	133123	2	1	94	89
YCR012W_mRNA	137745	138995	136872	1	1	95	90
YCR013C_mRNA	138401	139048	138995	2	1	96	91
YCR014C_mRNA	139184	140932	139048	2	1	97	92
YCR015C_mRNA	141216	142169	140932	2	1	98	93
snR33_snoRNA	142363	142545	142169	2	1	99	94
tG(GCC)C_tRNA	142700	142770	142545	2	1	100	95
YCR016W_mRNA	143633	144505	142770	1	1	101	96
YCR017C_mRNA	144772	147633	144505	2	1	102	97
YCR018C_mRNA	148237	148902	147633	2	1	103	98
tM(CAU)C_tRNA	149919	149990	148902	1	1	104	99
