212
1391	2134	1	0	0
2125	2565	1	1	1
2823	3749	1	2	2
6478	8325	2	3	3
9705	11081	1	4	4
11502	12284	2	5	5
12385	13017	2	6	6
13281	13808	1	7	7
13750	14118	1	8	8
15797	16879	2	9	9
17289	18560	1	10	10
18815	22105	2	11	11
22428	23378	2	12	12
23522	23980	2	13	13
23583	23924	1	14	14
24031	24324	2	15	15
24767	26905	1	16	16
26924	27358	2	17	17
27928	28935	1	18	18
30909	30995	1	19	19
31448	33973	1	20	20
34142	35392	2	21	21
35864	37615	1	22	22
37835	38800	2	23	23
39785	40723	2	24	24
41487	41726	1	25	25
42164	43555	1	26	26
43660	44436	2	27	27
44622	46904	2	28	28
46639	46962	1	29	29
47110	48363	2	30	30
48652	50220	2	31	31
50132	50626	2	32	32
50583	50942	1	33	33
50837	52339	1	34	34
52644	54881	1	35	35
54940	56526	2	36	36
57373	58677	2	37	37
59025	60725	1	38	38
60840	61172	2	39	39
61657	62721	1	40	40
62775	63281	2	41	41
63440	64480	1	42	42
64674	65567	2	43	43
65933	68332	2	44	44
68598	69920	2	45	45
70149	71366	1	46	46
71802	73340	1	47	47
73404	73985	2	48	48
74703	75284	2	49	49
76017	77918	2	50	50
78948	79295	2	51	51
79161	82274	1	52	52
81569	82084	2	53	53
82461	82532	2	54	54
83619	83996	1	55	55
85101	86417	1	56	56
85101	90414	1	57	57
90858	90895	1	58	58
90928	90971	1	58	58
91323	92417	1	59	59
92776	94269	2	60	60
94620	95762	2	61	61
96280	101190	1	62	62
101316	101632	2	63	63
101700	101787	2	63	63
102074	103357	2	64	64
103570	104349	2	65	65
104618	105547	2	66	66
105695	106852	2	67	67
106973	107365	2	68	68
107022	107032	1	69	69
107110	107190	1	69	69
107287	107416	1	69	69
107503	107711	2	70	70
108020	108790	1	71	71
109104	110669	1	72	72
110807	111556	2	73	73
111633	111674	2	73	73
111915	112481	1	74	74
113079	113540	1	75	75
113769	114023	1	76	76
115684	115998	1	77	77
117379	118347	2	78	78
118619	119170	1	79	79
119574	120317	2	80	80
120945	122327	2	81	81
122529	123002	2	82	82
123576	123647	2	83	83
126010	126729	2	84	84
127715	127788	1	85	85
128469	130280	1	86	86
130744	131541	2	87	87
132272	133123	2	88	88
133723	136872	2	89	89
137745	138995	1	90	90
138401	139048	2	91	91
139184	140932	2	92	92
141216	142169	2	93	93
142363	142545	2	94	94
142700	142770	2	95	95
143633	144505	1	96	96
144772	147633	2	97	97
148237	148902	2	98	98
149919	149990	1	99	99
151283	151355	2	100	100
151607	151861	2	101	101
152836	153927	1	102	102
154011	154658	2	103	103
154829	155095	2	104	104
155319	155555	1	105	105
156108	157106	2	106	106
157420	157764	2	107	107
158537	160372	2	108	108
160743	162221	2	109	109
162598	162864	2	110	110
162944	163066	2	111	111
163445	163855	2	112	112
164110	166338	2	113	113
167369	167998	2	114	114
168300	168371	2	115	115
170885	172423	2	116	116
172949	173114	2	117	117
173198	173439	2	117	117
173825	176437	2	118	118
177182	177281	1	119	119
177499	177905	2	120	120
178213	178219	2	120	120
178609	178797	2	121	121
179519	186022	1	122	122
186488	190168	1	123	123
190591	191634	1	124	124
191833	193017	2	125	125
193296	194297	1	126	126
194413	197184	2	127	127
197620	199548	2	128	128
199292	199417	1	129	129
199545	200177	2	130	130
200441	200968	1	131	131
200910	201242	1	132	132
201173	205396	2	133	133
206260	206643	2	134	134
206876	207949	2	135	135
208134	209609	2	136	136
208750	209100	1	137	137
209913	210422	2	138	138
210717	211544	2	139	139
211300	211506	1	140	140
211870	212316	2	141	141
211928	213760	1	142	142
213463	213771	2	143	143
214070	214738	1	144	144
214993	216444	1	145	145
216696	218240	1	146	146
218375	220066	2	147	147
220456	223227	2	148	148
223453	224229	2	149	149
224398	224733	1	150	150
225562	227457	1	151	151
227941	227977	1	152	152
227997	228041	1	152	152
228094	228504	2	153	153
228317	228790	1	154	154
229309	231003	1	155	155
231499	232962	1	156	156
233124	236321	2	157	157
237213	238775	1	158	158
239054	240010	1	159	159
240102	240542	2	160	160
240804	242351	2	161	161
242587	246582	2	162	162
246962	247909	1	163	163
248032	248814	2	164	164
248974	249201	1	165	165
249292	250044	2	166	166
250237	252627	2	167	167
252844	254172	1	168	168
254370	258653	1	169	169
258414	258650	2	170	170
258882	259268	1	171	171
259577	259960	1	172	172
260310	262451	2	173	173
262915	263268	1	174	174
263391	263963	1	175	175
263975	264490	1	176	176
264005	264466	2	177	177
265067	266845	1	178	178
267433	272262	1	179	179
272314	272862	2	180	180
274403	276565	1	181	181
276763	279819	2	182	182
280116	286442	1	183	183
286761	287936	1	184	184
288169	289257	2	185	185
289638	289796	1	186	186
293178	293537	2	187	187
293834	293938	1	188	188
293993	294238	1	188	188
294291	294320	1	188	188
294438	294704	1	189	189
295483	295555	1	190	190
297048	298604	2	191	191
300831	301298	2	192	192
301270	302220	2	193	193
302481	303029	2	194	194
304360	305466	2	195	195
306734	306931	1	196	196
307800	308174	1	197	197
309069	310154	1	198	198
310957	313455	1	199	199
313889	314980	1	200	200
315996	316187	2	201	201
