202
YCL076W	YCL076W	MissingGeneType
YCL075W	YCL075W	MissingGeneType
YCL074W	YCL074W	MissingGeneType
YCL073C	YCL073C	MissingGeneType
YCL069W	YCL069W	MissingGeneType
YCL068C	YCL068C	MissingGeneType
YCL067C	YCL067C	MissingGeneType
YCL066W	YCL066W	MissingGeneType
YCL065W	YCL065W	MissingGeneType
YCL064C	YCL064C	MissingGeneType
YCL063W	YCL063W	MissingGeneType
YCL061C	YCL061C	MissingGeneType
YCL059C	YCL059C	MissingGeneType
YCL058C	YCL058C	MissingGeneType
YCL058W-A	YCL058W-A	MissingGeneType
YCL057C-A	YCL057C-A	MissingGeneType
YCL057W	YCL057W	MissingGeneType
YCL056C	YCL056C	MissingGeneType
YCL055W	YCL055W	MissingGeneType
YCL054W-A	YCL054W-A	MissingGeneType
YCL054W	YCL054W	MissingGeneType
YCL052C	YCL052C	MissingGeneType
YCL051W	YCL051W	MissingGeneType
YCL050C	YCL050C	MissingGeneType
YCL049C	YCL049C	MissingGeneType
YCL048W-A	YCL048W-A	MissingGeneType
YCL048W	YCL048W	MissingGeneType
YCL047C	YCL047C	MissingGeneType
YCL045C	YCL045C	MissingGeneType
YCL046W	YCL046W	MissingGeneType
YCL044C	YCL044C	MissingGeneType
YCL043C	YCL043C	MissingGeneType
YCL041C	YCL041C	MissingGeneType
YCL042W	YCL042W	MissingGeneType
YCL040W	YCL040W	MissingGeneType
YCL039W	YCL039W	MissingGeneType
YCL038C	YCL038C	MissingGeneType
YCL037C	YCL037C	MissingGeneType
YCL036W	YCL036W	MissingGeneType
YCL035C	YCL035C	MissingGeneType
YCL034W	YCL034W	MissingGeneType
YCL033C	YCL033C	MissingGeneType
YCL032W	YCL032W	MissingGeneType
YCL031C	YCL031C	MissingGeneType
YCL030C	YCL030C	MissingGeneType
YCL029C	YCL029C	MissingGeneType
YCL028W	YCL028W	MissingGeneType
YCL027W	YCL027W	MissingGeneType
YCL026C-B	YCL026C-B	MissingGeneType
YCL026C-A	YCL026C-A	MissingGeneType
YCL025C	YCL025C	MissingGeneType
YCL023C	YCL023C	MissingGeneType
YCL024W	YCL024W	MissingGeneType
YCL022C	YCL022C	MissingGeneType
tE(UUC)C	tE(UUC)C	MissingGeneType
YCL021W-A	YCL021W-A	MissingGeneType
YCL020W	YCL020W	MissingGeneType
YCL019W	YCL019W	MissingGeneType
tL(CAA)C	tL(CAA)C	MissingGeneType
YCL018W	YCL018W	MissingGeneType
YCL017C	YCL017C	MissingGeneType
YCL016C	YCL016C	MissingGeneType
YCL014W	YCL014W	MissingGeneType
YCL012C	YCL012C	MissingGeneType
YCL011C	YCL011C	MissingGeneType
YCL010C	YCL010C	MissingGeneType
YCL009C	YCL009C	MissingGeneType
YCL008C	YCL008C	MissingGeneType
YCL007C	YCL007C	MissingGeneType
YCL005W-A	YCL005W-A	MissingGeneType
snR43	snR43	MissingGeneType
YCL005W	YCL005W	MissingGeneType
YCL004W	YCL004W	MissingGeneType
YCL002C	YCL002C	MissingGeneType
YCL001W	YCL001W	MissingGeneType
YCL001W-A	YCL001W-A	MissingGeneType
YCL001W-B	YCL001W-B	MissingGeneType
YCR001W	YCR001W	MissingGeneType
YCR002C	YCR002C	MissingGeneType
YCR003W	YCR003W	MissingGeneType
YCR004C	YCR004C	MissingGeneType
YCR005C	YCR005C	MissingGeneType
YCR006C	YCR006C	MissingGeneType
tP(AGG)C	tP(AGG)C	MissingGeneType
YCR007C	YCR007C	MissingGeneType
tN(GUU)C	tN(GUU)C	MissingGeneType
YCR008W	YCR008W	MissingGeneType
YCR009C	YCR009C	MissingGeneType
YCR010C	YCR010C	MissingGeneType
YCR011C	YCR011C	MissingGeneType
YCR012W	YCR012W	MissingGeneType
YCR013C	YCR013C	MissingGeneType
YCR014C	YCR014C	MissingGeneType
YCR015C	YCR015C	MissingGeneType
snR33	snR33	MissingGeneType
tG(GCC)C	tG(GCC)C	MissingGeneType
YCR016W	YCR016W	MissingGeneType
YCR017C	YCR017C	MissingGeneType
YCR018C	YCR018C	MissingGeneType
tM(CAU)C	tM(CAU)C	MissingGeneType
tK(CUU)C	tK(CUU)C	MissingGeneType
YCR018C-A	YCR018C-A	MissingGeneType
YCR019W	YCR019W	MissingGeneType
YCR020C	YCR020C	MissingGeneType
YCR020C-A	YCR020C-A	MissingGeneType
YCR020W-B	YCR020W-B	MissingGeneType
YCR021C	YCR021C	MissingGeneType
YCR022C	YCR022C	MissingGeneType
YCR023C	YCR023C	MissingGeneType
YCR024C	YCR024C	MissingGeneType
YCR024C-B	YCR024C-B	MissingGeneType
YCR024C-A	YCR024C-A	MissingGeneType
YCR025C	YCR025C	MissingGeneType
YCR026C	YCR026C	MissingGeneType
YCR027C	YCR027C	MissingGeneType
tQ(UUG)C	tQ(UUG)C	MissingGeneType
YCR028C	YCR028C	MissingGeneType
YCR028C-A	YCR028C-A	MissingGeneType
YCR030C	YCR030C	MissingGeneType
snR65	snR65	MissingGeneType
YCR031C	YCR031C	MissingGeneType
snR189	snR189	MissingGeneType
YCR032W	YCR032W	MissingGeneType
YCR033W	YCR033W	MissingGeneType
YCR034W	YCR034W	MissingGeneType
YCR035C	YCR035C	MissingGeneType
YCR036W	YCR036W	MissingGeneType
YCR037C	YCR037C	MissingGeneType
YCR038C	YCR038C	MissingGeneType
YCR038W-A	YCR038W-A	MissingGeneType
YCR039C	YCR039C	MissingGeneType
YCR040W	YCR040W	MissingGeneType
YCR041W	YCR041W	MissingGeneType
YCR042C	YCR042C	MissingGeneType
YCR043C	YCR043C	MissingGeneType
YCR044C	YCR044C	MissingGeneType
YCR045C	YCR045C	MissingGeneType
YCR045W-A	YCR045W-A	MissingGeneType
YCR046C	YCR046C	MissingGeneType
YCR047C	YCR047C	MissingGeneType
YCR047W-A	YCR047W-A	MissingGeneType
YCR049C	YCR049C	MissingGeneType
YCR048W	YCR048W	MissingGeneType
YCR050C	YCR050C	MissingGeneType
YCR051W	YCR051W	MissingGeneType
YCR052W	YCR052W	MissingGeneType
YCR053W	YCR053W	MissingGeneType
YCR054C	YCR054C	MissingGeneType
YCR057C	YCR057C	MissingGeneType
YCR059C	YCR059C	MissingGeneType
YCR060W	YCR060W	MissingGeneType
YCR061W	YCR061W	MissingGeneType
tS(CGA)C	tS(CGA)C	MissingGeneType
YCR064C	YCR064C	MissingGeneType
YCR063W	YCR063W	MissingGeneType
