chr	start	end	H3K36me3	H3K4me3
1	10000	20000	0	0
1	20000	30000	0	0
1	30000	40000	0	0
1	40000	50000	0	0
1	50000	60000	0	0
1	60000	70000	0	0
1	70000	80000	0	0
1	80000	90000	0	0
1	90000	100000	0	0
1	100000	110000	0	0
1	110000	120000	0	0
1	120000	130000	0	0
1	130000	140000	0	0
1	140000	150000	0	0
1	150000	160000	0	0
1	160000	170000	0	0
1	170000	180000	0	0
1	180000	190000	0	0
1	190000	200000	0	0
1	200000	210000	0	0
1	210000	220000	0	0
1	220000	230000	0	0
1	230000	240000	0	0
1	240000	250000	0	0
1	250000	260000	0	0
1	260000	270000	0	0
1	270000	280000	0	0
1	280000	290000	0	0
1	290000	300000	0	0
1	300000	310000	0	0
1	310000	320000	0	0
1	320000	330000	0	0
1	330000	340000	0	0
1	340000	350000	0	0
1	350000	360000	0	0
1	360000	370000	0	0
1	370000	380000	0	0
1	380000	390000	0	0
1	390000	400000	0	0
1	400000	410000	0	0
1	410000	420000	0	0
1	420000	430000	0	0
1	430000	440000	0	0
1	440000	450000	0	0
1	450000	460000	0	0
1	460000	470000	0	0
1	470000	480000	0	0
1	480000	490000	0	0
1	490000	500000	0	0
1	500000	510000	0	0
1	510000	520000	0	0
1	520000	530000	0	0
1	530000	540000	0	0
1	540000	550000	0	0
1	550000	560000	0	0
1	560000	570000	0	0
1	570000	580000	0	0
1	580000	590000	0	0
1	590000	600000	0	0
1	600000	610000	0	0
1	610000	620000	0	0
1	620000	630000	0	0
1	630000	640000	0	0
1	640000	650000	0	0
1	650000	660000	0	0
1	660000	670000	0	0
1	670000	680000	0	0
1	680000	690000	0	0
1	690000	700000	0	0
1	700000	710000	0	0
1	710000	720000	0	0
1	720000	730000	0	0
1	730000	740000	0	0
1	740000	750000	0	0
1	750000	760000	0	0
1	760000	770000	0	0
1	770000	780000	0	0
1	780000	790000	0	0
1	790000	800000	0	0
1	800000	810000	0	0
1	810000	820000	0	0
1	820000	830000	0	0
1	830000	840000	0	0
1	840000	850000	0	0
1	850000	860000	0	0
1	860000	870000	0	0
1	870000	880000	0	0
1	880000	890000	0	0
1	890000	900000	0	0
1	900000	910000	0	0
1	910000	920000	0	0
1	920000	930000	0	0
1	930000	940000	0	0
1	940000	950000	0	0
