chromosome	start	end	gene	minCopyNumber	maxCopyNumber	somaticRegions	transcriptId	isCanonical	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAlleleCopyNumber	depthWindowCount	gcContent
chr1	12010	13670	DDX11L1	1.9739	1.9739	1	ENST00000450305	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	14696	24886	WASH7P	1.9739	1.9739	1	ENST00000488147	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	17369	17436	MIR6859-1	1.9739	1.9739	1	ENST00000619216	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	29554	31109	MIR1302-2HG	1.9739	1.9739	1	ENST00000473358	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	30366	30503	MIR1302-2	1.9739	1.9739	1	ENST00000607096	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	34554	36081	FAM138A	1.9739	1.9739	1	ENST00000417324	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	52473	53312	OR4G4P	1.9739	1.9739	1	ENST00000606857	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	62949	63887	OR4G11P	1.9739	1.9739	1	ENST00000492842	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	65419	71585	OR4F5	1.9739	1.9739	1	ENST00000641515	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	131025	134836	CICP27	1.9739	1.9739	1	ENST00000442987	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	157784	157887	RNU6-1100P	1.9739	1.9739	1	ENST00000410691	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	182696	184174	DDX11L17	1.9739	1.9739	1	ENST00000624431	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	185217	195411	WASH9P	1.9739	1.9739	1	ENST00000623083	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	187891	187958	MIR6859-2	1.9739	1.9739	1	ENST00000612080	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	347982	348366	RPL23AP24	1.9739	1.9739	1	ENST00000458203	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	439870	440232	WBP1LP7	1.9739	1.9739	1	ENST00000437905	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	450740	451678	OR4F29	1.9739	1.9739	1	ENST00000426406	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	487101	489906	CICP7	1.9739	1.9739	1	ENST00000432723	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	629062	629433	MTND1P23	1.9739	1.9739	1	ENST00000416931	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
