chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr1	1	123605522	1.9739	30	0.5192	0.5107	TELOMERE	CENTROMERE	BAF_WEIGHTED	69	0.4054	1	1	0.9658	1.0081
chr1	123605523	248956422	1.9680	20	0.5169	0.5106	CENTROMERE	TELOMERE	BAF_WEIGHTED	52	0.4170	123605523	123605523	0.9631	1.0049
chr2	1	93139350	1.9693	30	0.5174	0.5106	TELOMERE	CENTROMERE	BAF_WEIGHTED	64	0.3954	1	1	0.9637	1.0056
chr2	93139351	242193529	1.9737	18	0.5172	0.5056	CENTROMERE	TELOMERE	BAF_WEIGHTED	45	0.3972	93139351	93139351	0.9759	0.9979
chr3	1	92214015	1.9802	28	0.5101	0.5037	TELOMERE	CENTROMERE	BAF_WEIGHTED	65	0.3918	1	1	0.9827	0.9975
chr3	92214016	198295559	1.9948	20	0.5240	0.5075	CENTROMERE	TELOMERE	BAF_WEIGHTED	48	0.4056	92214016	92214016	0.9825	1.0123
chr4	1	50726025	1.9578	11	0.5197	0.5125	TELOMERE	CENTROMERE	BAF_WEIGHTED	20	0.3593	1	1	0.9545	1.0033
chr4	50726026	190214555	1.9828	39	0.5169	0.5090	CENTROMERE	TELOMERE	BAF_WEIGHTED	92	0.3661	50726026	50726026	0.9735	1.0093
chr5	1	48272853	1.9593	6	0.5378	0.5060	TELOMERE	CENTROMERE	BAF_WEIGHTED	23	0.3502	1	1	0.9679	0.9914
chr5	48272854	181538259	1.9762	43	0.5220	0.5080	CENTROMERE	TELOMERE	BAF_WEIGHTED	96	0.3796	48272854	48272854	0.9723	1.0039
chr6	1	59191910	1.9089	21	0.5167	0.5084	TELOMERE	CENTROMERE	BAF_WEIGHTED	54	0.4257	1	1	0.9385	0.9705
chr6	59191911	170805979	1.9932	22	0.5207	0.5041	CENTROMERE	TELOMERE	BAF_WEIGHTED	47	0.3818	59191911	59191911	0.9884	1.0047
chr7	1	59498943	1.9535	26	0.5178	0.5110	TELOMERE	CENTROMERE	BAF_WEIGHTED	48	0.3819	1	1	0.9553	0.9982
chr7	59498944	159345973	1.9739	20	0.5341	0.5062	CENTROMERE	TELOMERE	BAF_WEIGHTED	43	0.3940	59498944	59498944	0.9747	0.9992
chr8	1	44955504	1.9721	22	0.5177	0.5051	TELOMERE	CENTROMERE	BAF_WEIGHTED	46	0.4075	1	1	0.9760	0.9961
chr8	44955505	145138636	1.9693	26	0.5175	0.5075	CENTROMERE	TELOMERE	BAF_WEIGHTED	71	0.3825	44955505	44955505	0.9699	0.9994
chr9	1	20414426	1.9528	9	0.5048	0.5018	TELOMERE	BND	BAF_WEIGHTED	21	0.3723	1	1	0.9729	0.9799
