HG2412_PATCH	NW_019805502.1
HG1395_PATCH	ML143350.1
GJ211836.1	NT_187171.1
NT_187602.1	chr15_KI270852v1_alt
CM000667.2	NC_000005.10
KI270724.1	NT_187379.1
KV880768.1	NW_017852933.1
KI270713.1	NT_187368.1
KZ208912.1	chr7_KZ208912v1_fix
KI270580.1	chrUn_KI270580v1
HG2407_PATCH	NW_025791803.1
HSCHR1_1_CTG3	NT_187515.1
HG2242_HG2243_PATCH	chr10_KN538366v1_fix
GJ211949.1	NT_187222.1
NT_187542.1	chr4_KI270785v1_alt
KV880766.1	NW_017852931.1
GL000117.2	NT_037852.7
KI270920.1	chr19_KI270920v1_alt
GL000055.2	NT_007819.18
NW_025791766.1	chr2_MU273343v1_fix
KI270469.1	NT_187239.1
KI270515.1	chrUn_KI270515v1
HSCHR19KIR_RSH_A_HAP_CTG3_1	chr19_KI270891v1_alt
KI270534.1	NT_187267.1
HSCHR19KIR_0019-4656-A_CTG3_1	chr19_KV575246v1_alt
GL000254.2	NT_167247.2
HG2247_PATCH	NW_011332697.1
HSCHR1_1_CTG32_1	KI270759.1
NW_012132915.1	chr2_KQ031384v1_fix
KI270720.1	chr9_KI270720v1_random
KI270789.1	NT_187545.1
KI866542.1	NT_187352.1
HG2057_PATCH	KZ208911.1
NT_187364.1	chr1_KI270709v1_random
HSCHR1_4_CTG32_1	chr1_KI270764v1_alt
KI270702.1	NT_187357.1
HG563_PATCH	chr6_ML143351v1_fix
HSCHR22_1_CTG7	NT_187633.1
HSCHR4_8_CTG12	chr4_KQ090014v1_alt
HSCHR22_1_CTG3	chr22_KI270875v1_alt
HG1206_PATCH	NW_025791789.1
NT_187597.1	chr13_KI270843v1_alt
MU273330.1	NW_025791753.1
GL949750.2	NW_003571058.2
KQ983255.1	chr1_KQ983255v1_alt
NT_187370.1	chr2_KI270715v1_random
NW_019805489.1	chr3_KZ559102v1_alt
1	CM000663.2
KI270883.1	chr19_KI270883v1_alt
HG2231_HG2496_PATCH	NW_025791767.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	KI270921.1
KI270464.1	NT_187238.1
HG1395_PATCH	NW_021159996.1
NW_003315963.1	chr19_GL383574v1_alt
KI270819.1	chr8_KI270819v1_alt
NT_187567.1	chr8_KI270810v1_alt
ML143365.1	NW_021160011.1
HSCHR13_1_CTG7	KQ090024.1
HSCHR19_4_CTG3_1	chr19_KI270938v1_alt
GJ212000.2	NT_187245.1
HSCHR14_1_CTG1	chr14_KI270844v1_alt
KZ208911.1	chr6_KZ208911v1_fix
GJ211936.1	KI270413.1
KI270476.1	NT_187243.1
MU273378.1	chr17_MU273378v1_alt
KI270339.1	NT_187184.1
MU273394.1	chrX_MU273394v1_fix
GJ211866.1	KI270327.1
HSCHR13_1_CTG6	KI270843.1
KQ458384.1	chr1_KQ458384v1_alt
HG1296_PATCH	chr4_ML143348v1_fix
HG2494_PATCH	chr2_MU273341v1_fix
GJ211887.1	KI270348.1
GL000208.1	NT_113948.1
NW_018654714.1	chr7_KZ208912v1_fix
CM000675.2	chr13
GL383533.1	HSCHR6_1_CTG2
KI270762.1	NT_187515.1
NW_016107300.1	chr19_KV575246v1_alt
NT_187390.1	chr22_KI270735v1_random
HG1384_PATCH	ML143342.1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	KI270916.1
HG1445_PATCH	chr11_ML143357v1_fix
KI270744.1	NT_187499.1
GL000236.1	NT_167230.1
KI270396.1	NT_187477.1
GL949742.1	HSCHR5_2_CTG1
HSCHR13_1_CTG8	NW_013171811.1
NW_025791761.1	chr2_MU273338v1_alt
KI270746.1	chrUn_KI270746v1
MU273332.1	chr1_MU273332v1_alt
HSCHR11_2_CTG1	chr11_KI270902v1_alt
GL000038.2	NT_006051.19
KI270885.1	chr19_KI270885v1_alt
HSCHR11_1_CTG1_2	NW_011332695.1
MU273357.1	chr6_MU273357v1_alt
NW_009646195.1	chr1_KN196473v1_fix
HSCHR15_2_CTG8	NW_003315944.2
KI270893.1	NT_187647.1
KQ458387.1	chr22_KQ458387v1_alt
HSCHR6_1_CTG8	NT_187556.1
HSCHR1_2_CTG32_1	NT_187518.1
KI270439.1	NT_187228.1
NT_187549.1	chr5_KI270796v1_alt
GJ211986.2	KI270464.1
HG152_PATCH	MU273369.1
HG2063_PATCH	KQ759760.1
KI270376.1	NT_187489.1
HSCHR22_1_CTG1	chr22_GL383582v2_alt
HSCHR12_6_CTG2_1	KI270834.1
KI270302.1	NT_187396.1
GL000050.2	NT_029289.12
GL000235.1	NT_167229.1
MU273344.1	NW_025791767.1
HG287_PATCH	chr4_MU273351v1_fix
NT_187506.1	chrUn_KI270751v1
ML143382.1	NW_021160028.1
KI270536.1	NT_187269.1
NT_187499.1	chrUn_KI270744v1
HG1485_PATCH	NW_021160024.1
KI270763.1	NT_187519.1
KZ559110.1	NW_019805497.1
HSCHR17_11_CTG4	NW_017363818.1
HSCHR8_8_CTG1	chr8_KI270821v1_alt
HSCHR18_1_CTG1_1	NW_003315956.1
