region_id	sample	read_pairs	singletons	r1_fastq	r2_fastq
01_chrM	ACC13778A1	971199	2	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/01_chrM_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/01_chrM_R2.fastq.gz
02_chrX	ACC13778A1	2064	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/02_chrX_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/02_chrX_R2.fastq.gz
03_chr12	ACC13778A1	5943	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/03_chr12_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/03_chr12_R2.fastq.gz
04_chr20b	ACC13778A1	5658	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/04_chr20b_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/04_chr20b_R2.fastq.gz
05_chr7	ACC13778A1	1986	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/05_chr7_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/05_chr7_R2.fastq.gz
06_chr20a	ACC13778A1	1989	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/06_chr20a_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/06_chr20a_R2.fastq.gz
07_chr16	ACC13778A1	1757	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/07_chr16_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/07_chr16_R2.fastq.gz
08_chr21	ACC13778A1	4195	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/08_chr21_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/08_chr21_R2.fastq.gz
09_chr1	ACC13778A1	4830	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/09_chr1_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A1/09_chr1_R2.fastq.gz
01_chrM	ACC13778A2	866393	1	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/01_chrM_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/01_chrM_R2.fastq.gz
02_chrX	ACC13778A2	4283	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/02_chrX_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/02_chrX_R2.fastq.gz
03_chr12	ACC13778A2	5907	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/03_chr12_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/03_chr12_R2.fastq.gz
04_chr20b	ACC13778A2	5315	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/04_chr20b_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/04_chr20b_R2.fastq.gz
