@HD	VN:1.6
@SQ	SN:chr22	LN:40001	M5:1922b52e1af6977302717072ebaca0a1	UR:file:/sfs/7/workspace/ws/iizha01-dsl2_testdata_human-0/tmp/nxf.DB5Cm4sZ5K/chr22_region.fasta
CONTIG	START	END	GC_CONTENT
chr22	1	1000	0.305000
chr22	1001	2000	0.299000
chr22	2001	3000	0.300000
chr22	3001	4000	0.288000
chr22	4001	5000	0.344000
chr22	5001	6000	0.352000
chr22	6001	7000	0.347000
chr22	7001	8000	0.320000
chr22	8001	9000	0.307000
chr22	9001	10000	0.355000
chr22	10001	11000	0.391000
chr22	11001	12000	0.400000
chr22	12001	13000	0.394000
chr22	13001	14000	0.428000
chr22	14001	15000	0.458000
chr22	15001	16000	0.486000
chr22	16001	17000	0.462000
chr22	17001	18000	0.486000
chr22	18001	19000	0.500000
chr22	19001	19780	0.428205
chr22	20121	21120	0.446000
chr22	21121	22120	0.557000
chr22	22121	23120	0.577000
chr22	23121	24120	0.486000
chr22	24121	25120	0.432000
chr22	25121	26120	0.442000
chr22	26121	27120	0.492000
chr22	27121	28120	0.441000
chr22	28121	29120	0.480000
chr22	29121	30120	0.358000
chr22	30121	31120	0.393000
chr22	31121	32120	0.771000
chr22	32121	33120	0.644000
chr22	33121	34120	0.418000
chr22	34121	34330	0.280952
chr22	34621	35620	0.369000
chr22	35621	36620	0.387000
chr22	36621	37620	0.394000
chr22	37621	38620	0.455000
chr22	38621	39620	0.541000
chr22	39621	40001	0.695538
