"sample","fastq_1","fastq_2","strandedness","type","treatment","pair","sample_description"
"SRX11780879","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780879_SRR15480782_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780879_SRR15480782_chr20_2.fastq.gz","auto","rnaseq","control",1,"PM2_5_0_1"
"SRX11780880","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780880_SRR15480783_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780880_SRR15480783_chr20_2.fastq.gz","auto","rnaseq","control",2,"PM2_5_0_2"
"SRX11780881","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780881_SRR15480784_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780881_SRR15480784_chr20_2.fastq.gz","auto","rnaseq","control",3,"PM2_5_0_3"
"SRX11780882","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780882_SRR15480785_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780882_SRR15480785_chr20_2.fastq.gz","auto","rnaseq","treatment",4,"PM2_5_400_1"
"SRX11780883","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780883_SRR15480786_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780883_SRR15480786_chr20_2.fastq.gz","auto","rnaseq","treatment",5,"PM2_5_400_2"
"SRX11780884","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780884_SRR15480787_chr20_1.fastq.gz","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780884_SRR15480787_chr20_2.fastq.gz","auto","rnaseq","treatment",6,"PM2_5_400_3"
"SRX11780885","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780885_SRR15480788_chr20_1.fastq.gz","","auto","riboseq","control",1,"Ribo-seq_C01"
"SRX11780886","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780886_SRR15480789_chr20_1.fastq.gz","","auto","riboseq","control",2,"Ribo-seq_C02"
"SRX11780887","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780887_SRR15480790_chr20_1.fastq.gz","","auto","riboseq","control",3,"Ribo-seq_C03"
"SRX11780888","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780888_SRR15480791_chr20_1.fastq.gz","","auto","riboseq","treatment",4,"Ribo-seq_P4001"
"SRX11780889","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780889_SRR15480792_chr20_1.fastq.gz","","auto","riboseq","treatment",5,"Ribo-seq_P4002"
"SRX11780890","https://raw.githubusercontent.com/nf-core/test-datasets/riboseq/testdata/GSE182201/SRX11780890_SRR15480793_chr20_1.fastq.gz","","auto","riboseq","treatment",6,"Ribo-seq_P4003"
